epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,,0,,,,,,0.716330885887146
,,,1,,,,,,1.1210283041000366
,,,2,,,,,,1.1387312412261963
0,0.22857142984867096,0.17391304671764374,4,,,,,0.9253478050231934,
0,,,4,,,1.053667426109314,,,
1,,,9,,,,0.8733925819396973,,
,,,3,,,,,,0.6988646984100342
,,,4,,,,,,1.1253536939620972
,,,5,,,,,,1.1425793170928955
1,0.22857142984867096,0.17391304671764374,9,,,,,0.919093132019043,
1,,,9,,,0.9561825394630432,,,
,,,6,,,,,,0.6962533593177795
,,,7,,,,,,1.0939496755599976
,,,8,,,,,,1.1036155223846436
2,0.30039525032043457,0.2460317462682724,14,,,,,0.9014201164245605,
2,,,14,,,0.9350881576538086,,,
3,,,19,,,,0.7844089865684509,,
,,,9,,,,,,0.7147062420845032
,,,10,,,,,,1.0249099731445312
,,,11,,,,,,1.0120606422424316
3,0.4382775127887726,0.3737373650074005,19,,,,,0.8741187453269958,
3,,,19,,,0.9053568840026855,,,
,,,12,,,,,,0.7515424489974976
,,,13,,,,,,0.9629980325698853
,,,14,,,,,,0.9259056448936462
4,0.48688173294067383,0.43205127120018005,24,,,,,0.8593500852584839,
4,,,24,,,0.874853253364563,,,
5,,,29,,,,0.9435074925422668,,
,,,15,,,,,,0.7599992156028748
,,,16,,,,,,0.9106410145759583
,,,17,,,,,,0.8487997055053711
5,0.5300166010856628,0.4962962865829468,29,,,,,0.835728645324707,
5,,,29,,,0.8452213406562805,,,
,,,18,,,,,,0.7582138180732727
,,,19,,,,,,0.8716161251068115
,,,20,,,,,,0.7832452654838562
6,0.5518821477890015,0.5038759708404541,34,,,,,0.8139552474021912,
6,,,34,,,0.8127968311309814,,,
7,,,39,,,,0.6780469417572021,,
,,,21,,,,,,0.7178037166595459
,,,22,,,,,,0.8511233329772949
,,,23,,,,,,0.7511975765228271
7,1.0,1.0,39,,,,,0.783455491065979,
7,,,39,,,0.7930517196655273,,,
,,,24,,,,,,0.7190755009651184
,,,25,,,,,,0.8240238428115845
,,,26,,,,,,0.7047383785247803
8,0.9855003952980042,0.9855072498321533,44,,,,,0.7695251107215881,
8,,,44,,,0.7742769718170166,,,
9,,,49,,,,1.0018565654754639,,
,,,27,,,,,,0.7676867842674255
,,,28,,,,,,0.7831485271453857
,,,29,,,,,,0.6545343399047852
9,0.9565011858940125,0.9599999785423279,49,,,,,0.7717545032501221,
9,,,49,,,0.7523807287216187,,,
,,,30,,,,,,0.7885013222694397
,,,31,,,,,,0.7612992525100708
,,,32,,,,,,0.6570373773574829
10,0.941919207572937,0.9487179517745972,54,,,,,0.7713287472724915,
10,,,54,,,0.7392750978469849,,,
11,,,59,,,,0.6934595108032227,,
,,,33,,,,,,0.8052940964698792
,,,34,,,,,,0.7414820790290833
,,,35,,,,,,0.6646755337715149
11,0.897337794303894,0.9195402264595032,59,,,,,0.7700937390327454,
11,,,59,,,0.7104964852333069,,,
,,,36,,,,,,0.7713038325309753
,,,37,,,,,,0.7261181473731995
,,,38,,,,,,0.6760268211364746
12,0.941919207572937,0.9487179517745972,64,,,,,0.7465084791183472,
12,,,64,,,0.7042302489280701,,,
13,,,69,,,,0.6993187069892883,,
,,,39,,,,,,0.7271185517311096
,,,40,,,,,,0.7133764028549194
,,,41,,,,,,0.7014397978782654
13,0.941919207572937,0.9487179517745972,69,,,,,0.7196775674819946,
13,,,69,,,0.6743425726890564,,,
,,,42,,,,,,0.7016211748123169
,,,43,,,,,,0.6953460574150085
,,,44,,,,,,0.7563838362693787
14,0.9103456735610962,0.9141414165496826,74,,,,,0.7002381682395935,
14,,,74,,,0.6548468470573425,,,
15,,,79,,,,0.8980814814567566,,
,,,45,,,,,,0.6812586188316345
,,,46,,,,,,0.6723896265029907
,,,47,,,,,,0.768902599811554
15,0.9248677492141724,0.9262186884880066,79,,,,,0.6796143054962158,
15,,,79,,,0.6408761739730835,,,
,,,48,,,,,,0.6963813900947571
,,,49,,,,,,0.6553411483764648
,,,50,,,,,,0.8255151510238647
16,0.8800134658813477,0.887077271938324,84,,,,,0.6803961992263794,
16,,,84,,,0.6070290803909302,,,
17,,,89,,,,0.6258736848831177,,
,,,51,,,,,,0.6953484416007996
,,,52,,,,,,0.6607570648193359
,,,53,,,,,,0.9311019778251648
17,0.8787878751754761,0.8838383555412292,89,,,,,0.6857209801673889,
17,,,89,,,0.5961961150169373,,,
,,,54,,,,,,0.7274165153503418
,,,55,,,,,,0.6460033655166626
,,,56,,,,,,0.9446983933448792
18,0.849614143371582,0.8611111044883728,94,,,,,0.6945277452468872,
18,,,94,,,0.5867058634757996,,,
19,,,99,,,,0.7321746349334717,,
,,,57,,,,,,0.7503804564476013
,,,58,,,,,,0.6248190402984619
,,,59,,,,,,0.9423794150352478
19,0.8652953505516052,0.8765217661857605,99,,,,,0.6953203678131104,
19,,,99,,,0.583224892616272,,,
,,,0,,0.7503804564476013,,,,
,,,1,,0.6248190402984619,,,,
,,,2,,0.9423794150352478,,,,
20,,,100,0.6953203678131104,,,,,
